time,id,mag,place,updated,status,sig,net,code,nst,dmin,rms,gap,magType,type,title,longitude,latitude,depth
2024-09-15 19:00:00,ci40734487,2.34,"6 km N of Malibu, CA",2024-09-17 16:18:19,reviewed,86.0,ci,40734487,74.0,0.0265,0.24,93.0,ml,earthquake,"M 2.3 - 6 km N of Malibu, CA",-118.805,34.0563333,10.52
2024-09-15 19:01:00,,,,2024-09-15 19:01:00,,,,,,,,,,,,,,
2024-09-15 19:02:00,,,,2024-09-15 19:02:00,,,,,,,,,,,,,,
2024-09-15 19:03:00,,,,2024-09-15 19:03:00,,,,,,,,,,,,,,
2024-09-15 19:04:00,,,,2024-09-15 19:04:00,,,,,,,,,,,,,,
2024-09-15 19:05:00,,,,2024-09-15 19:05:00,,,,,,,,,,,,,,
2024-09-15 19:06:00,,,,2024-09-15 19:06:00,,,,,,,,,,,,,,
2024-09-15 19:07:00,,,,2024-09-15 19:07:00,,,,,,,,,,,,,,
2024-09-15 19:08:00,,,,2024-09-15 19:08:00,,,,,,,,,,,,,,
2024-09-15 19:09:00,,,,2024-09-15 19:09:00,,,,,,,,,,,,,,
2024-09-15 19:10:00,,,,2024-09-15 19:10:00,,,,,,,,,,,,,,
2024-09-15 19:11:00,,,,2024-09-15 19:11:00,,,,,,,,,,,,,,
2024-09-15 19:12:00,,,,2024-09-15 19:12:00,,,,,,,,,,,,,,
2024-09-15 19:13:00,,,,2024-09-15 19:13:00,,,,,,,,,,,,,,
2024-09-15 19:14:00,,,,2024-09-15 19:14:00,,,,,,,,,,,,,,
2024-09-15 19:15:00,,,,2024-09-15 19:15:00,,,,,,,,,,,,,,
2024-09-15 19:16:00,,,,2024-09-15 19:16:00,,,,,,,,,,,,,,
2024-09-15 19:17:00,,,,2024-09-15 19:17:00,,,,,,,,,,,,,,
2024-09-15 19:18:00,,,,2024-09-15 19:18:00,,,,,,,,,,,,,,
2024-09-15 19:19:00,,,,2024-09-15 19:19:00,,,,,,,,,,,,,,
2024-09-15 19:20:00,,,,2024-09-15 19:20:00,,,,,,,,,,,,,,
2024-09-15 19:21:00,,,,2024-09-15 19:21:00,,,,,,,,,,,,,,
2024-09-15 19:22:00,,,,2024-09-15 19:22:00,,,,,,,,,,,,,,
2024-09-15 19:23:00,,,,2024-09-15 19:23:00,,,,,,,,,,,,,,
2024-09-15 19:24:00,,,,2024-09-15 19:24:00,,,,,,,,,,,,,,
2024-09-15 19:25:00,,,,2024-09-15 19:25:00,,,,,,,,,,,,,,
2024-09-15 19:26:00,,,,2024-09-15 19:26:00,,,,,,,,,,,,,,
2024-09-15 19:27:00,,,,2024-09-15 19:27:00,,,,,,,,,,,,,,
2024-09-15 19:28:00,,,,2024-09-15 19:28:00,,,,,,,,,,,,,,
2024-09-15 19:29:00,,,,2024-09-15 19:29:00,,,,,,,,,,,,,,
2024-09-15 19:30:00,,,,2024-09-15 19:30:00,,,,,,,,,,,,,,
2024-09-15 19:31:00,,,,2024-09-15 19:31:00,,,,,,,,,,,,,,
2024-09-15 19:32:00,,,,2024-09-15 19:32:00,,,,,,,,,,,,,,
2024-09-15 19:33:00,,,,2024-09-15 19:33:00,,,,,,,,,,,,,,
2024-09-15 19:34:00,,,,2024-09-15 19:34:00,,,,,,,,,,,,,,
2024-09-15 19:35:00,,,,2024-09-15 19:35:00,,,,,,,,,,,,,,
2024-09-15 19:36:00,,,,2024-09-15 19:36:00,,,,,,,,,,,,,,
2024-09-15 19:37:00,,,,2024-09-15 19:37:00,,,,,,,,,,,,,,
2024-09-15 19:38:00,,,,2024-09-15 19:38:00,,,,,,,,,,,,,,
2024-09-15 19:39:00,,,,2024-09-15 19:39:00,,,,,,,,,,,,,,
2024-09-15 19:40:00,,,,2024-09-15 19:40:00,,,,,,,,,,,,,,
2024-09-15 19:41:00,,,,2024-09-15 19:41:00,,,,,,,,,,,,,,
2024-09-15 19:42:00,,,,2024-09-15 19:42:00,,,,,,,,,,,,,,
2024-09-15 19:43:00,,,,2024-09-15 19:43:00,,,,,,,,,,,,,,
2024-09-15 19:44:00,,,,2024-09-15 19:44:00,,,,,,,,,,,,,,
2024-09-15 19:45:00,,,,2024-09-15 19:45:00,,,,,,,,,,,,,,
2024-09-15 19:46:00,,,,2024-09-15 19:46:00,,,,,,,,,,,,,,
2024-09-15 19:47:00,,,,2024-09-15 19:47:00,,,,,,,,,,,,,,
2024-09-15 19:48:00,,,,2024-09-15 19:48:00,,,,,,,,,,,,,,
2024-09-15 19:49:00,,,,2024-09-15 19:49:00,,,,,,,,,,,,,,
2024-09-15 19:50:00,,,,2024-09-15 19:50:00,,,,,,,,,,,,,,
2024-09-15 19:51:00,,,,2024-09-15 19:51:00,,,,,,,,,,,,,,
2024-09-15 19:52:00,,,,2024-09-15 19:52:00,,,,,,,,,,,,,,
2024-09-15 19:53:00,,,,2024-09-15 19:53:00,,,,,,,,,,,,,,
2024-09-15 19:54:00,,,,2024-09-15 19:54:00,,,,,,,,,,,,,,
2024-09-15 19:55:00,,,,2024-09-15 19:55:00,,,,,,,,,,,,,,
2024-09-15 19:56:00,,,,2024-09-15 19:56:00,,,,,,,,,,,,,,
2024-09-15 19:57:00,,,,2024-09-15 19:57:00,,,,,,,,,,,,,,
2024-09-15 19:58:00,,,,2024-09-15 19:58:00,,,,,,,,,,,,,,
2024-09-15 19:59:00,,,,2024-09-15 19:59:00,,,,,,,,,,,,,,
