Epoch,Train Loss,Train Acc,Val Acc
1,2.2863,0.3004,0.5116
2,1.2718,0.6100,0.4932
3,0.9264,0.7169,0.7148
4,0.7457,0.7707,0.7349
5,0.6372,0.8056,0.7743
6,0.5663,0.8268,0.7449
7,0.5173,0.8423,0.7904
8,0.4773,0.8526,0.7449
9,0.4465,0.8620,0.8241
10,0.4210,0.8693,0.8239
11,0.3971,0.8776,0.8207
12,0.3855,0.8801,0.8351
13,0.3687,0.8856,0.8494
14,0.3541,0.8904,0.7663
15,0.3346,0.8946,0.7411
16,0.3227,0.8995,0.8551
17,0.3090,0.9033,0.8607
18,0.2993,0.9059,0.8376
19,0.2916,0.9077,0.8407
20,0.2780,0.9137,0.8547
