datetime,datetimeEpoch,temp,feelslike,humidity,dew,precip,windgust,windspeed,winddir,pressure,cloudcover,visibility,uvindex,conditions,icon,source,weather_time
00:00:00,1725580800,22.92,22.97,75.73,18.31,0.01,15.52,7.69,119.74,1009.5,0.58,15.94,0.02,Clear,clear-night,obs,2024-09-06 00:00:00
00:00:00,1725580830,22.94,22.91,75.77,18.28,0.01,15.51,7.66,119.94,1009.47,0.34,15.97,0.02,Clear,clear-night,obs,2024-09-06 00:00:30
00:00:00,1725580860,22.87,22.92,75.69,18.24,0.01,15.54,7.65,120.19,1009.51,0.6,15.99,0.02,Clear,clear-night,obs,2024-09-06 00:01:00
00:00:00,1725580890,22.91,22.93,75.87,18.28,0.01,15.55,7.61,119.67,1009.51,0.6,15.93,0.02,Clear,clear-night,obs,2024-09-06 00:01:30
00:00:00,1725580920,22.91,22.9,75.87,18.24,0.01,15.57,7.59,120.5,1009.4,0.02,16.01,0.01,Clear,clear-night,obs,2024-09-06 00:02:00
00:00:00,1725580950,22.92,22.91,75.79,18.29,0.01,15.48,7.66,119.39,1009.45,0.39,16.01,0.0,Clear,clear-night,obs,2024-09-06 00:02:30
00:00:00,1725580980,22.93,22.91,75.72,18.31,0.01,15.39,7.69,119.74,1009.52,0.3,15.97,0.01,Clear,clear-night,obs,2024-09-06 00:03:00
00:00:00,1725581010,22.89,22.92,75.62,18.24,0.01,15.49,7.63,119.8,1009.46,0.17,15.97,0.01,Clear,clear-night,obs,2024-09-06 00:03:30
00:00:00,1725581040,22.88,22.94,76.2,18.29,0.02,15.56,7.58,118.72,1009.49,0.36,15.97,0.01,Clear,clear-night,obs,2024-09-06 00:04:00
00:00:00,1725581070,22.86,22.92,75.81,18.3,0.02,15.52,7.66,119.81,1009.46,0.2,15.96,0.01,Clear,clear-night,obs,2024-09-06 00:04:30
00:00:00,1725581100,22.89,22.85,75.79,18.28,0.01,15.61,7.69,119.11,1009.47,0.17,15.93,0.02,Clear,clear-night,obs,2024-09-06 00:05:00
00:00:00,1725581130,22.89,22.95,76.17,18.34,0.01,15.4,7.73,119.89,1009.49,0.77,15.97,0.0,Clear,clear-night,obs,2024-09-06 00:05:30
00:00:00,1725581160,22.9,22.91,75.6,18.27,0.0,15.5,7.72,120.21,1009.39,0.21,15.97,0.01,Clear,clear-night,obs,2024-09-06 00:06:00
00:00:00,1725581190,22.86,22.92,75.81,18.3,0.02,15.63,7.66,120.22,1009.46,0.0,15.92,0.0,Clear,clear-night,obs,2024-09-06 00:06:30
00:00:00,1725581220,22.92,22.86,75.87,18.3,0.0,15.48,7.65,119.12,1009.48,0.45,15.96,0.0,Clear,clear-night,obs,2024-09-06 00:07:00
00:00:00,1725581250,22.88,22.9,75.73,18.28,0.01,15.61,7.5,120.17,1009.43,0.29,16.0,0.0,Clear,clear-night,obs,2024-09-06 00:07:30
00:00:00,1725581280,22.92,22.89,76.34,18.31,-0.0,15.38,7.71,119.86,1009.63,0.87,15.96,0.01,Clear,clear-night,obs,2024-09-06 00:08:00
00:00:00,1725581310,22.92,22.85,75.76,18.3,0.0,15.45,7.67,119.82,1009.51,0.01,15.99,0.0,Clear,clear-night,obs,2024-09-06 00:08:30
00:00:00,1725581340,22.86,22.95,75.74,18.28,0.02,15.52,7.68,119.9,1009.45,0.77,15.92,0.0,Clear,clear-night,obs,2024-09-06 00:09:00
00:00:00,1725581370,22.89,22.98,76.35,18.3,0.01,15.5,7.67,119.36,1009.41,0.55,16.01,0.0,Clear,clear-night,obs,2024-09-06 00:09:30
00:00:00,1725581400,22.89,22.88,75.73,18.29,0.01,15.58,7.64,119.87,1009.42,0.11,15.93,0.0,Clear,clear-night,obs,2024-09-06 00:10:00
00:00:00,1725581430,22.92,22.95,75.61,18.28,0.02,15.53,7.56,120.34,1009.35,0.0,15.9,0.03,Clear,clear-night,obs,2024-09-06 00:10:30
00:00:00,1725581460,22.86,22.92,75.66,18.34,0.0,15.59,7.62,119.99,1009.44,0.82,16.09,0.0,Clear,clear-night,obs,2024-09-06 00:11:00
00:00:00,1725581490,22.97,22.99,75.71,18.3,-0.0,15.28,7.46,118.83,1009.49,0.73,16.02,0.04,Clear,clear-night,obs,2024-09-06 00:11:30
00:00:00,1725581520,22.88,22.96,75.87,18.3,-0.01,15.65,7.7,120.51,1009.37,1.16,16.0,0.0,Clear,clear-night,obs,2024-09-06 00:12:00
00:00:00,1725581550,22.98,22.9,75.97,18.16,0.01,15.44,7.58,120.55,1009.65,1.4,15.91,0.01,Clear,clear-night,obs,2024-09-06 00:12:30
00:00:00,1725581580,22.93,22.89,75.96,18.32,0.01,15.37,7.48,119.82,1009.46,0.0,15.91,0.0,Clear,clear-night,obs,2024-09-06 00:13:00
00:00:00,1725581610,23.01,22.91,75.74,18.24,-0.01,15.67,7.56,118.96,1009.5,1.34,16.01,0.02,Clear,clear-night,obs,2024-09-06 00:13:30
00:00:00,1725581640,22.82,22.84,76.09,18.27,-0.02,15.63,7.51,121.03,1009.53,0.84,15.95,0.03,Clear,clear-night,obs,2024-09-06 00:14:00
00:00:00,1725581670,22.8,23.03,75.73,18.33,0.03,15.68,7.61,120.14,1009.54,0.16,15.95,0.01,Clear,clear-night,obs,2024-09-06 00:14:30
00:00:00,1725581700,22.84,22.93,76.29,18.28,0.0,15.6,7.58,120.81,1009.27,0.0,15.97,0.02,Clear,clear-night,obs,2024-09-06 00:15:00
00:00:00,1725581730,22.87,22.98,76.31,18.28,0.0,15.56,7.71,119.37,1009.33,0.34,15.93,0.02,Clear,clear-night,obs,2024-09-06 00:15:30
00:00:00,1725581760,22.82,22.99,75.57,18.29,-0.01,15.25,7.71,120.56,1009.27,0.36,16.02,0.0,Clear,clear-night,obs,2024-09-06 00:16:00
